id,课程名,封面地址,课程时长,课程价格,课程简介,讲师,地址
1,Web前端架构师,https://class.imooc.com/sale/fearchitect,35周,￥5980.00,超大复杂项目+高端技术+大厂规范+全局架构思维系统培养大厂P7技术专家/中小厂前端Leader6~8个月，让3年+前端完成质的飞跃,null,null
2,Go开发工程师,https://class.imooc.com/sale/go,30周,￥3280.00,随着云计算与5G的普及，数据运算性能逐渐成为后端开发的考量标准未来3-5年，Go语言势必成为企业在高性能项目中不可替代的开发语言现在学习Go语言，抓紧机遇，冲击大厂高薪,null,null
3,数据可视化利器之Matplotlib,https://www.imooc.com/learn/1178, 1小时28分,免费,简介：本课程主要讲解了运用JupyterNotebook+Matplotlib实现数据可视化多种方式，主要包括交互式笔记本JupyterNotebook的环境搭建、可视化基础图形的绘制和应用、可视化高阶图形的绘制和应用，从而使大家充分掌握数据可视化的主要内容。,金莱,https://www.imooc.com/video/20363
4,AWS平台上微服务与无服务的实践与应用,https://www.imooc.com/learn/1179, 4小时 0分,免费,简介：了解微服务的概念、我们为什么需要微服务、如何在AWS平台上进行微服务架构开发，并以生动形象的实例讲解微服务的应用过程；了解什么是MongoDBCloud，以及如何在MongoDBCloud上构建无服务器化应用,亚马逊AWS,https://www.imooc.com/video/20300
5,装饰者模式,https://www.imooc.com/learn/1180, 1小时47分,免费,简介：装饰者模式是java23种设计模式之一，英文叫DecoratorPattern，又叫装饰者模式。装饰模式是在不必改变原类文件和使用继承的情况下，动态地扩展一个对象的功能。它是通过创建一个包装对象，也就是装饰来包裹真实的对象改变了传统继承增强对象功能所带来的弊端,欧阳熊猫,https://www.imooc.com/video/20338
6,Egg.js 框架入门与实战,https://www.imooc.com/learn/1185, 2小时 0分,免费,简介：目前项目中Node.js的需求是越来越多，简单的内部系统、Socket通信服务、官网等，开发难度也越来越大，而Egg.js就是一款解决企业级开发问题的Node.js框架。本课程将从Egg.js的入门知识开始讲解，并附上一个实际的案例来加深对框架的掌握。另，小宅的前端进阶新作《用React.js+Egg.js造轮子，全栈开发旅游电商应用》https://coding.imooc.com/class/452.html也上线啦，课程中会结合react及egg，造实用的轮子，完成电商应用的全栈开发，感兴趣的同学，可以关注一下，欢迎撒花拍砖~,夏小宅,https://www.imooc.com/video/20383
7,PHP+Mysql+Ajax实现分页,https://www.imooc.com/learn/1117, 3小时20分,免费,简介：分页一直是一个强需求，本课程首先从MySQL的角度讲解了分页的实现，其次介绍了PHP如何原生操作MySQL，然后介绍了前端AJAX的使用，最后通过开发一个分页实例来串联之前所讲。希望大家通过对本课程的学习能更好的理解分页的原理以及如何通过PHP,wulekong,https://www.imooc.com/video/19299
8,Android应用内升级App,https://www.imooc.com/learn/1168, 1小时52分,免费,简介：应用内升级对于每一个Android应用，算是一个标配功能。本门课程将带大家从应用内升级的必要性分析，再到应用升级的几种形式介绍及实现流程解析，最后手把手带大家实现一个应用内升级的案例，除此之外还会分享应用内升级的一些例如完整性校验，防止文件下载错误或被篡改等实现细节。,hyman,https://www.imooc.com/video/19998
9,Android与WebView的js交互,https://www.imooc.com/learn/983,46分,免费,简介：本课程为大家来了WebView的使用场景及常见交互，通过讲解演示让大家掌握WebView对java方法的调用以及实现js方法的调用参数的传递，还会介绍如何使用chrome浏览器调试客户端中网页的方法，以及注意的事项，最后会为大家分析WebView的js交互中常犯的几个错误。,liusiqian...,https://www.imooc.com/video/17013
10,JSON应用场景与实战,https://www.imooc.com/learn/68, 1小时 0分,免费,简介：现今Json数据以短小、读取方便等优点，越来越受广大开发人员喜欢。本课分为两部分，前半部分详细介绍JSON的基础知识，后半部分通过两个实站案例再次加深对Json的理解，并演示Json在各个实际场景的用法。,eric,https://www.imooc.com/video/902
